"DataHora_GMT";"Bateria _Volts";"CorrPSol_Logico ";"DirVelVentoMax _oNV ";"DirVento _oNV ";"Pluvio_mm";"PressaoAtm_mB";"RadSolAcum _Mjm-2";"TempAr_oC ";"TempMax_oC";"TempMin_oC ";"UmidInt_perc";"UmidRel _perc";"VelVento10m_ms-1 ";"VelVentoMax_ms-1"
"1999-12-31 15:00:00";12.4;1;80;70;94;1010;5.25;26.5;28.5;22;10;76;3.4;10.6
"1999-12-31 12:00:00";12.3;1;310;30;94;1011;1.75;27;28.5;22;10;84;0.9;2.9
"1999-12-31 09:00:00";12.1;1;40;230;94;1010;0;23;28.5;22.5;10;97;0.3;1.5
"1999-12-31 06:00:00";12.1;0;10;20;94;1009;0;22.5;28.5;22.5;5;97;0.5;2.9
"1999-12-31 03:00:00";12.1;0;50;50;94;1009;10.25;23;28.5;22.5;10;95;1.1;4.6
"1999-12-31 00:00:00";"NA";"NA";"NA";20;94;1010;10.25;24.5;"NA";"NA";"NA";94;1.8;0
"1999-12-30 21:00:00";12.2;0;60;60;94;1008;10.25;25.5;31;22.5;10;90;1.2;6.7
"1999-12-30 18:00:00";12.4;1;70;70;94;1009;8.25;27;31;22.5;10;79;3.5;7.4
"1999-12-30 15:00:00";12.4;1;330;50;94;1012;4;26.5;31;22.5;10;80;1.7;4.5
"1999-12-30 12:00:00";12.3;1;340;340;94;1012;1.25;25;31;22.5;10;85;2.1;5
"1999-12-30 09:00:00";"NA";"NA";"NA";300;94;1010;0;22.5;"NA";"NA";"NA";97;1.8;0
"1999-12-30 06:00:00";12.1;0;40;50;83;1009;0;24;31;23;10;97;1.7;5.4
"1999-12-30 03:00:00";12.2;0;40;40;82;1010;15.5;25;31;23;10;94;1.3;4.7
"1999-12-30 00:00:00";12.2;0;70;50;82;1010;15.5;25;31;23;10;91;2;6.2
"1999-12-29 21:00:00";12.2;0;60;70;82;1008;15.5;25.5;30;23;10;85;2.2;7.8
"1999-12-29 18:00:00";12.4;1;80;90;82;1009;13.25;28.5;30;23;10;72;2.5;8.3
"1999-12-29 15:00:00";12.4;1;210;190;82;1011;7;29.5;30;23;10;76;3;5.9
"1999-12-29 12:00:00";12.5;1;310;320;82;1012;1.5;28;30;23;10;86;1.2;3
"1999-12-29 09:00:00";"NA";"NA";"NA";280;81;1010;0;23.5;"NA";"NA";"NA";98;0.3;0
"1999-12-29 06:00:00";"NA";"NA";"NA";60;80;1009;0;23;"NA";"NA";"NA";95;2;0
"1999-12-29 03:00:00";12.2;0;80;80;79;1010;19.25;25;30;22;10;84;2.6;7.1
"1999-12-29 00:00:00";"NA";"NA";"NA";90;79;1010;19.25;26;"NA";"NA";"NA";85;1;0
"1999-12-28 21:00:00";12.2;0;130;60;79;1009;19.25;26;30.5;22;10;80;2.7;5.7
"1999-12-28 18:00:00";12.4;1;170;130;79;1009;17.5;29.5;30.5;22;10;69;1.4;6.6
"1999-12-28 15:00:00";12.4;1;210;200;79;1010;11;27.5;30.5;22;10;77;3.6;7.4
